,Number of Bedrooms,County,Rent_Price,Land_Price,Population of County,Avg_Rent_By_Bedroom,Rent_Land_Ratio,vat_internal_€m,paye_income_tax_and_usc_€m,self_employed_income_tax_€m,corporation_tax_€m,capital_gains_tax_€m,VALUE
511,1 to 2 bed,Dublin,1924.86,18395,1458154,1184.0090322580645,0.1046403914107094,9895.73,13623.77,1383.09,11525.39,792.11,70886
512,Three bed,Dublin,1922.84,18395,1458154,1385.131496350365,0.1045305789616743,9895.73,13623.77,1383.09,11525.39,792.11,70886
513,1 to 3 bed,Dublin,1921.87,18395,1458154,1230.7152459016395,0.1044778472410981,9895.73,13623.77,1383.09,11525.39,792.11,70886
514,Three bed,Dublin,1921.83,18395,1458154,1385.131496350365,0.1044756727371568,9895.73,13623.77,1383.09,11525.39,792.11,70886
515,1 to 2 bed,Dublin,1920.19,18395,1458154,1184.0090322580645,0.104386518075564,9895.73,13623.77,1383.09,11525.39,792.11,70886
516,Three bed,Dublin,1919.11,18395,1458154,1385.131496350365,0.1043278064691492,9895.73,13623.77,1383.09,11525.39,792.11,70886
517,Two bed,Dublin,1919.05,18395,1458154,1274.9833802816902,0.1043245447132373,9895.73,13623.77,1383.09,11525.39,792.11,70886
518,1 to 2 bed,Dublin,1918.92,18395,1458154,1184.0090322580645,0.1043174775754281,9895.73,13623.77,1383.09,11525.39,792.11,70886
519,Three bed,Dublin,1915.99,18395,1458154,1385.131496350365,0.1041581951617287,9895.73,13623.77,1383.09,11525.39,792.11,70886
520,All bedrooms,Dublin,1904.4,18395,1458154,1298.127292225201,0.1035281326447404,9895.73,13623.77,1383.09,11525.39,792.11,70886
521,All bedrooms,Dublin,1904.32,18395,1458154,1298.127292225201,0.1035237836368578,9895.73,13623.77,1383.09,11525.39,792.11,70886
522,1 to 3 bed,Dublin,1904.32,18395,1458154,1230.7152459016395,0.1035237836368578,9895.73,13623.77,1383.09,11525.39,792.11,70886
523,1 to 2 bed,Dublin,1903.22,18395,1458154,1184.0090322580645,0.1034639847784724,9895.73,13623.77,1383.09,11525.39,792.11,70886
524,Three bed,Dublin,1902.1,18395,1458154,1385.131496350365,0.1034030986681163,9895.73,13623.77,1383.09,11525.39,792.11,70886
525,All bedrooms,Dublin,1901.34,18395,1458154,1298.127292225201,0.1033617830932318,9895.73,13623.77,1383.09,11525.39,792.11,70886
526,All bedrooms,Dublin,1899.9,18395,1458154,1298.127292225201,0.1032835009513454,9895.73,13623.77,1383.09,11525.39,792.11,70886
527,Four plus bed,Dublin,1898.88,18395,1458154,1680.8637333333334,0.1032280511008426,9895.73,13623.77,1383.09,11525.39,792.11,70886
528,All bedrooms,Dublin,1895.99,18395,1458154,1298.127292225201,0.1030709431910845,9895.73,13623.77,1383.09,11525.39,792.11,70886
529,All bedrooms,Dublin,1895.99,18395,1458154,1298.127292225201,0.1030709431910845,9895.73,13623.77,1383.09,11525.39,792.11,70886
530,All bedrooms,Dublin,1894.74,18395,1458154,1298.127292225201,0.1030029899429192,9895.73,13623.77,1383.09,11525.39,792.11,70886
531,Two bed,Dublin,1892.57,18395,1458154,1274.9833802816902,0.1028850231041043,9895.73,13623.77,1383.09,11525.39,792.11,70886
532,1 to 3 bed,Dublin,1892.08,18395,1458154,1230.7152459016395,0.1028583854308236,9895.73,13623.77,1383.09,11525.39,792.11,70886
533,All bedrooms,Dublin,1889.85,18395,1458154,1298.127292225201,0.1027371568360967,9895.73,13623.77,1383.09,11525.39,792.11,70886
534,Two bed,Dublin,1889.33,18395,1458154,1274.9833802816902,0.10270888828486,9895.73,13623.77,1383.09,11525.39,792.11,70886
535,Three bed,Dublin,1889.0,18395,1458154,1385.131496350365,0.1026909486273443,9895.73,13623.77,1383.09,11525.39,792.11,70886
536,1 to 3 bed,Dublin,1887.57,18395,1458154,1230.7152459016395,0.1026132101114433,9895.73,13623.77,1383.09,11525.39,792.11,70886
537,1 to 2 bed,Dublin,1887.54,18395,1458154,1184.0090322580645,0.1026115792334873,9895.73,13623.77,1383.09,11525.39,792.11,70886
538,1 to 3 bed,Dublin,1885.27,18395,1458154,1230.7152459016395,0.1024881761348192,9895.73,13623.77,1383.09,11525.39,792.11,70886
539,Two bed,Dublin,1884.51,18395,1458154,1274.9833802816902,0.1024468605599347,9895.73,13623.77,1383.09,11525.39,792.11,70886
540,Four plus bed,Dublin,1884.46,18395,1458154,1680.8637333333334,0.1024441424300081,9895.73,13623.77,1383.09,11525.39,792.11,70886
541,All bedrooms,Dublin,1883.36,18395,1458154,1298.127292225201,0.1023843435716227,9895.73,13623.77,1383.09,11525.39,792.11,70886
542,1 to 2 bed,Dublin,1878.53,18395,1458154,1184.0090322580645,0.1021217722207121,9895.73,13623.77,1383.09,11525.39,792.11,70886
543,Three bed,Dublin,1877.47,18395,1458154,1385.131496350365,0.102064147866268,9895.73,13623.77,1383.09,11525.39,792.11,70886
544,All bedrooms,Dublin,1873.97,18395,1458154,1298.127292225201,0.1018738787714052,9895.73,13623.77,1383.09,11525.39,792.11,70886
545,1 to 3 bed,Dublin,1873.72,18395,1458154,1230.7152459016395,0.1018602881217722,9895.73,13623.77,1383.09,11525.39,792.11,70886
546,All bedrooms,Dublin,1873.69,18395,1458154,1298.127292225201,0.1018586572438162,9895.73,13623.77,1383.09,11525.39,792.11,70886
547,All bedrooms,Dublin,1872.38,18395,1458154,1298.127292225201,0.101787442239739,9895.73,13623.77,1383.09,11525.39,792.11,70886
548,1 to 3 bed,Dublin,1872.38,18395,1458154,1230.7152459016395,0.101787442239739,9895.73,13623.77,1383.09,11525.39,792.11,70886
549,1 to 3 bed,Dublin,1871.82,18395,1458154,1230.7152459016395,0.101756999184561,9895.73,13623.77,1383.09,11525.39,792.11,70886
550,Two bed,Dublin,1870.83,18395,1458154,1274.9833802816902,0.1017031802120141,9895.73,13623.77,1383.09,11525.39,792.11,70886
551,One bed,Dublin,1870.73,18395,1458154,1057.0936904761904,0.1016977439521609,9895.73,13623.77,1383.09,11525.39,792.11,70886
552,1 to 2 bed,Dublin,1868.67,18395,1458154,1184.0090322580645,0.1015857569991845,9895.73,13623.77,1383.09,11525.39,792.11,70886
553,1 to 3 bed,Dublin,1868.18,18395,1458154,1230.7152459016395,0.1015591193259037,9895.73,13623.77,1383.09,11525.39,792.11,70886
554,All bedrooms,Dublin,1868.14,18395,1458154,1298.127292225201,0.1015569448219625,9895.73,13623.77,1383.09,11525.39,792.11,70886
555,1 to 2 bed,Dublin,1866.64,18395,1458154,1184.0090322580645,0.1014754009241641,9895.73,13623.77,1383.09,11525.39,792.11,70886
556,Two bed,Dublin,1865.93,18395,1458154,1274.9833802816902,0.1014368034792063,9895.73,13623.77,1383.09,11525.39,792.11,70886
557,Two bed,Dublin,1865.5,18395,1458154,1274.9833802816902,0.1014134275618374,9895.73,13623.77,1383.09,11525.39,792.11,70886
558,1 to 2 bed,Dublin,1865.11,18395,1458154,1184.0090322580645,0.1013922261484098,9895.73,13623.77,1383.09,11525.39,792.11,70886
559,1 to 3 bed,Dublin,1864.7,18395,1458154,1230.7152459016395,0.1013699374830117,9895.73,13623.77,1383.09,11525.39,792.11,70886
560,1 to 3 bed,Dublin,1863.88,18395,1458154,1230.7152459016395,0.1013253601522152,9895.73,13623.77,1383.09,11525.39,792.11,70886
561,All bedrooms,Dublin,1863.55,18395,1458154,1298.127292225201,0.1013074204946996,9895.73,13623.77,1383.09,11525.39,792.11,70886
562,Three bed,Dublin,1862.82,18395,1458154,1385.131496350365,0.1012677357977711,9895.73,13623.77,1383.09,11525.39,792.11,70886
563,1 to 3 bed,Dublin,1861.21,18395,1458154,1230.7152459016395,0.1011802120141342,9895.73,13623.77,1383.09,11525.39,792.11,70886
564,All bedrooms,Dublin,1860.69,18395,1458154,1298.127292225201,0.1011519434628975,9895.73,13623.77,1383.09,11525.39,792.11,70886
565,Two bed,Dublin,1859.43,18395,1458154,1274.9833802816902,0.1010834465887469,9895.73,13623.77,1383.09,11525.39,792.11,70886
566,1 to 3 bed,Dublin,1856.72,18395,1458154,1230.7152459016395,0.1009361239467246,9895.73,13623.77,1383.09,11525.39,792.11,70886
567,1 to 3 bed,Dublin,1855.0,18395,1458154,1230.7152459016395,0.1008426202772492,9895.73,13623.77,1383.09,11525.39,792.11,70886
568,Three bed,Dublin,1854.52,18395,1458154,1385.131496350365,0.1008165262299538,9895.73,13623.77,1383.09,11525.39,792.11,70886
569,Two bed,Dublin,1853.2,18395,1458154,1274.9833802816902,0.1007447675998912,9895.73,13623.77,1383.09,11525.39,792.11,70886
570,1 to 2 bed,Dublin,1853.0,18395,1458154,1184.0090322580645,0.1007338950801848,9895.73,13623.77,1383.09,11525.39,792.11,70886
571,1 to 3 bed,Dublin,1852.65,18395,1458154,1230.7152459016395,0.1007148681706985,9895.73,13623.77,1383.09,11525.39,792.11,70886
572,1 to 2 bed,Dublin,1852.64,18395,1458154,1184.0090322580645,0.1007143245447132,9895.73,13623.77,1383.09,11525.39,792.11,70886
573,Three bed,Dublin,1851.46,18395,1458154,1385.131496350365,0.1006501766784452,9895.73,13623.77,1383.09,11525.39,792.11,70886
574,Two bed,Dublin,1847.97,18395,1458154,1274.9833802816902,0.1004604512095678,9895.73,13623.77,1383.09,11525.39,792.11,70886
575,Two bed,Dublin,1847.32,18395,1458154,1274.9833802816902,0.1004251155205218,9895.73,13623.77,1383.09,11525.39,792.11,70886
576,1 to 3 bed,Dublin,1844.39,18395,1458154,1230.7152459016395,0.1002658331068225,9895.73,13623.77,1383.09,11525.39,792.11,70886
577,1 to 2 bed,Dublin,1842.89,18395,1458154,1184.0090322580645,0.1001842892090242,9895.73,13623.77,1383.09,11525.39,792.11,70886
578,1 to 2 bed,Dublin,1839.74,18395,1458154,1184.0090322580645,0.1000130470236477,9895.73,13623.77,1383.09,11525.39,792.11,70886
579,Two bed,Dublin,1838.01,18395,1458154,1274.9833802816902,0.099918999728187,9895.73,13623.77,1383.09,11525.39,792.11,70886
580,Two bed,Dublin,1835.92,18395,1458154,1274.9833802816902,0.0998053818972547,9895.73,13623.77,1383.09,11525.39,792.11,70886
581,1 to 3 bed,Dublin,1835.29,18395,1458154,1230.7152459016395,0.0997711334601793,9895.73,13623.77,1383.09,11525.39,792.11,70886
582,Two bed,Dublin,1834.37,18395,1458154,1274.9833802816902,0.0997211198695297,9895.73,13623.77,1383.09,11525.39,792.11,70886
583,1 to 3 bed,Dublin,1834.13,18395,1458154,1230.7152459016395,0.099708072845882,9895.73,13623.77,1383.09,11525.39,792.11,70886
584,Two bed,Dublin,1832.65,18395,1458154,1274.9833802816902,0.0996276162000543,9895.73,13623.77,1383.09,11525.39,792.11,70886
585,All bedrooms,Dublin,1831.72,18395,1458154,1298.127292225201,0.0995770589834194,9895.73,13623.77,1383.09,11525.39,792.11,70886
586,All bedrooms,Dublin,1827.35,18395,1458154,1298.127292225201,0.0993394944278336,9895.73,13623.77,1383.09,11525.39,792.11,70886
587,All bedrooms,Dublin,1826.55,18395,1458154,1298.127292225201,0.0992960043490078,9895.73,13623.77,1383.09,11525.39,792.11,70886
588,All bedrooms,Dublin,1825.52,18395,1458154,1298.127292225201,0.0992400108725197,9895.73,13623.77,1383.09,11525.39,792.11,70886
589,1 to 2 bed,Dublin,1824.68,18395,1458154,1184.0090322580645,0.0991943462897526,9895.73,13623.77,1383.09,11525.39,792.11,70886
590,All bedrooms,Dublin,1824.07,18395,1458154,1298.127292225201,0.099161185104648,9895.73,13623.77,1383.09,11525.39,792.11,70886
591,1 to 3 bed,Dublin,1821.98,18395,1458154,1230.7152459016395,0.0990475672737156,9895.73,13623.77,1383.09,11525.39,792.11,70886
592,All bedrooms,Dublin,1820.89,18395,1458154,1298.127292225201,0.0989883120413155,9895.73,13623.77,1383.09,11525.39,792.11,70886
593,1 to 3 bed,Dublin,1820.89,18395,1458154,1230.7152459016395,0.0989883120413155,9895.73,13623.77,1383.09,11525.39,792.11,70886
594,All bedrooms,Dublin,1819.57,18395,1458154,1298.127292225201,0.098916553411253,9895.73,13623.77,1383.09,11525.39,792.11,70886
595,1 to 3 bed,Dublin,1819.57,18395,1458154,1230.7152459016395,0.098916553411253,9895.73,13623.77,1383.09,11525.39,792.11,70886
596,All bedrooms,Dublin,1818.95,18395,1458154,1298.127292225201,0.0988828486001631,9895.73,13623.77,1383.09,11525.39,792.11,70886
597,1 to 3 bed,Dublin,1816.54,18395,1458154,1230.7152459016395,0.0987518347377004,9895.73,13623.77,1383.09,11525.39,792.11,70886
598,Three bed,Dublin,1814.88,18395,1458154,1385.131496350365,0.098661592824137,9895.73,13623.77,1383.09,11525.39,792.11,70886
599,1 to 2 bed,Dublin,1814.1,18395,1458154,1184.0090322580645,0.0986191899972818,9895.73,13623.77,1383.09,11525.39,792.11,70886
600,Two bed,Dublin,1813.4,18395,1458154,1274.9833802816902,0.0985811361783093,9895.73,13623.77,1383.09,11525.39,792.11,70886
601,All bedrooms,Dublin,1812.28,18395,1458154,1298.127292225201,0.0985202500679532,9895.73,13623.77,1383.09,11525.39,792.11,70886
602,1 to 3 bed,Dublin,1812.28,18395,1458154,1230.7152459016395,0.0985202500679532,9895.73,13623.77,1383.09,11525.39,792.11,70886
603,1 to 3 bed,Dublin,1811.37,18395,1458154,1230.7152459016395,0.0984707801032889,9895.73,13623.77,1383.09,11525.39,792.11,70886
604,All bedrooms,Dublin,1810.88,18395,1458154,1298.127292225201,0.0984441424300081,9895.73,13623.77,1383.09,11525.39,792.11,70886
605,Two bed,Dublin,1809.15,18395,1458154,1274.9833802816902,0.0983500951345474,9895.73,13623.77,1383.09,11525.39,792.11,70886
606,1 to 2 bed,Dublin,1808.47,18395,1458154,1184.0090322580645,0.0983131285675455,9895.73,13623.77,1383.09,11525.39,792.11,70886
607,Three bed,Dublin,1806.19,18395,1458154,1385.131496350365,0.098189181842892,9895.73,13623.77,1383.09,11525.39,792.11,70886
608,1 to 2 bed,Dublin,1802.25,18395,1458154,1184.0090322580645,0.0979749932046751,9895.73,13623.77,1383.09,11525.39,792.11,70886
609,1 to 3 bed,Dublin,1800.72,18395,1458154,1230.7152459016395,0.0978918184289209,9895.73,13623.77,1383.09,11525.39,792.11,70886
610,Two bed,Dublin,1800.24,18395,1458154,1274.9833802816902,0.0978657243816254,9895.73,13623.77,1383.09,11525.39,792.11,70886
611,Three bed,Dublin,1799.87,18395,1458154,1385.131496350365,0.0978456102201685,9895.73,13623.77,1383.09,11525.39,792.11,70886
612,Two bed,Dublin,1799.73,18395,1458154,1274.9833802816902,0.097837999456374,9895.73,13623.77,1383.09,11525.39,792.11,70886
613,1 to 3 bed,Dublin,1798.4,18395,1458154,1230.7152459016395,0.0977656972003261,9895.73,13623.77,1383.09,11525.39,792.11,70886
614,1 to 3 bed,Dublin,1797.95,18395,1458154,1230.7152459016395,0.0977412340309866,9895.73,13623.77,1383.09,11525.39,792.11,70886
615,All bedrooms,Dublin,1796.96,18395,1458154,1298.127292225201,0.0976874150584398,9895.73,13623.77,1383.09,11525.39,792.11,70886
616,1 to 2 bed,Dublin,1796.96,18395,1458154,1184.0090322580645,0.0976874150584398,9895.73,13623.77,1383.09,11525.39,792.11,70886
617,1 to 3 bed,Dublin,1796.96,18395,1458154,1230.7152459016395,0.0976874150584398,9895.73,13623.77,1383.09,11525.39,792.11,70886
618,1 to 2 bed,Dublin,1794.74,18395,1458154,1184.0090322580645,0.0975667300896983,9895.73,13623.77,1383.09,11525.39,792.11,70886
619,Two bed,Dublin,1793.4,18395,1458154,1274.9833802816902,0.0974938842076651,9895.73,13623.77,1383.09,11525.39,792.11,70886
620,All bedrooms,Dublin,1790.63,18395,1458154,1298.127292225201,0.0973432998097309,9895.73,13623.77,1383.09,11525.39,792.11,70886
621,All bedrooms,Dublin,1790.4,18395,1458154,1298.127292225201,0.0973307964120685,9895.73,13623.77,1383.09,11525.39,792.11,70886
622,1 to 2 bed,Dublin,1789.84,18395,1458154,1184.0090322580645,0.0973003533568904,9895.73,13623.77,1383.09,11525.39,792.11,70886
623,1 to 3 bed,Dublin,1788.01,18395,1458154,1230.7152459016395,0.0972008698015765,9895.73,13623.77,1383.09,11525.39,792.11,70886
624,Four plus bed,Dublin,1786.97,18395,1458154,1680.8637333333334,0.097144332699103,9895.73,13623.77,1383.09,11525.39,792.11,70886
625,Two bed,Dublin,1784.01,18395,1458154,1274.9833802816902,0.0969834194074476,9895.73,13623.77,1383.09,11525.39,792.11,70886
626,Two bed,Dublin,1780.06,18395,1458154,1274.9833802816902,0.0967686871432454,9895.73,13623.77,1383.09,11525.39,792.11,70886
627,1 to 2 bed,Dublin,1779.18,18395,1458154,1184.0090322580645,0.0967208480565371,9895.73,13623.77,1383.09,11525.39,792.11,70886
628,1 to 3 bed,Dublin,1778.15,18395,1458154,1230.7152459016395,0.0966648545800489,9895.73,13623.77,1383.09,11525.39,792.11,70886
629,1 to 2 bed,Dublin,1776.76,18395,1458154,1184.0090322580645,0.0965892905680891,9895.73,13623.77,1383.09,11525.39,792.11,70886
630,Two bed,Dublin,1776.14,18395,1458154,1274.9833802816902,0.0965555857569991,9895.73,13623.77,1383.09,11525.39,792.11,70886
631,1 to 3 bed,Dublin,1774.15,18395,1458154,1230.7152459016395,0.09644740418592,9895.73,13623.77,1383.09,11525.39,792.11,70886
632,Two bed,Dublin,1773.44,18395,1458154,1274.9833802816902,0.0964088067409622,9895.73,13623.77,1383.09,11525.39,792.11,70886
633,All bedrooms,Dublin,1773.09,18395,1458154,1298.127292225201,0.0963897798314759,9895.73,13623.77,1383.09,11525.39,792.11,70886
634,Two bed,Dublin,1770.42,18395,1458154,1274.9833802816902,0.0962446316933949,9895.73,13623.77,1383.09,11525.39,792.11,70886
635,1 to 2 bed,Dublin,1770.0,18395,1458154,1184.0090322580645,0.0962217994020114,9895.73,13623.77,1383.09,11525.39,792.11,70886
636,1 to 3 bed,Dublin,1768.85,18395,1458154,1230.7152459016395,0.0961592824136993,9895.73,13623.77,1383.09,11525.39,792.11,70886
637,Two bed,Dublin,1765.34,18395,1458154,1274.9833802816902,0.0959684696928513,9895.73,13623.77,1383.09,11525.39,792.11,70886
638,Three bed,Dublin,1761.68,18395,1458154,1385.131496350365,0.0957695025822234,9895.73,13623.77,1383.09,11525.39,792.11,70886
639,All bedrooms,Dublin,1760.92,18395,1458154,1298.127292225201,0.0957281870073389,9895.73,13623.77,1383.09,11525.39,792.11,70886
640,Two bed,Dublin,1760.84,18395,1458154,1274.9833802816902,0.0957238379994563,9895.73,13623.77,1383.09,11525.39,792.11,70886
641,All bedrooms,Dublin,1756.51,18395,1458154,1298.127292225201,0.0954884479478119,9895.73,13623.77,1383.09,11525.39,792.11,70886
642,1 to 2 bed,Dublin,1755.5,18395,1458154,1184.0090322580645,0.0954335417232943,9895.73,13623.77,1383.09,11525.39,792.11,70886
643,1 to 3 bed,Dublin,1754.98,18395,1458154,1230.7152459016395,0.0954052731720576,9895.73,13623.77,1383.09,11525.39,792.11,70886
644,All bedrooms,Dublin,1754.92,18395,1458154,1298.127292225201,0.0954020114161457,9895.73,13623.77,1383.09,11525.39,792.11,70886
645,All bedrooms,Dublin,1754.79,18395,1458154,1298.127292225201,0.0953949442783365,9895.73,13623.77,1383.09,11525.39,792.11,70886
646,All bedrooms,Dublin,1754.58,18395,1458154,1298.127292225201,0.0953835281326447,9895.73,13623.77,1383.09,11525.39,792.11,70886
647,1 to 2 bed,Dublin,1752.88,18395,1458154,1184.0090322580645,0.0952911117151399,9895.73,13623.77,1383.09,11525.39,792.11,70886
648,All bedrooms,Dublin,1751.53,18395,1458154,1298.127292225201,0.0952177222071215,9895.73,13623.77,1383.09,11525.39,792.11,70886
649,1 to 2 bed,Dublin,1751.18,18395,1458154,1184.0090322580645,0.0951986952976352,9895.73,13623.77,1383.09,11525.39,792.11,70886
650,1 to 3 bed,Dublin,1750.2,18395,1458154,1230.7152459016395,0.0951454199510736,9895.73,13623.77,1383.09,11525.39,792.11,70886
651,1 to 2 bed,Dublin,1747.43,18395,1458154,1184.0090322580645,0.0949948355531394,9895.73,13623.77,1383.09,11525.39,792.11,70886
652,1 to 3 bed,Dublin,1745.84,18395,1458154,1230.7152459016395,0.0949083990214732,9895.73,13623.77,1383.09,11525.39,792.11,70886
653,Two bed,Dublin,1745.8,18395,1458154,1274.9833802816902,0.0949062245175319,9895.73,13623.77,1383.09,11525.39,792.11,70886
654,Two bed,Dublin,1745.53,18395,1458154,1274.9833802816902,0.0948915466159282,9895.73,13623.77,1383.09,11525.39,792.11,70886
655,1 to 2 bed,Dublin,1744.77,18395,1458154,1184.0090322580645,0.0948502310410437,9895.73,13623.77,1383.09,11525.39,792.11,70886
656,1 to 2 bed,Dublin,1744.45,18395,1458154,1184.0090322580645,0.0948328350095134,9895.73,13623.77,1383.09,11525.39,792.11,70886
657,1 to 3 bed,Dublin,1744.01,18395,1458154,1230.7152459016395,0.0948089154661592,9895.73,13623.77,1383.09,11525.39,792.11,70886
658,Three bed,Dublin,1743.53,18395,1458154,1385.131496350365,0.0947828214188638,9895.73,13623.77,1383.09,11525.39,792.11,70886
659,One bed,Dublin,1742.56,18395,1458154,1057.0936904761904,0.0947300896982875,9895.73,13623.77,1383.09,11525.39,792.11,70886
660,Two bed,Dublin,1740.39,18395,1458154,1274.9833802816902,0.0946121228594727,9895.73,13623.77,1383.09,11525.39,792.11,70886
661,One bed,Dublin,1738.26,18395,1458154,1057.0936904761904,0.094496330524599,9895.73,13623.77,1383.09,11525.39,792.11,70886
662,All bedrooms,Dublin,1737.05,18395,1458154,1298.127292225201,0.0944305517803751,9895.73,13623.77,1383.09,11525.39,792.11,70886
663,Two bed,Dublin,1736.09,18395,1458154,1274.9833802816902,0.0943783636857841,9895.73,13623.77,1383.09,11525.39,792.11,70886
664,1 to 2 bed,Dublin,1735.94,18395,1458154,1184.0090322580645,0.0943702092960043,9895.73,13623.77,1383.09,11525.39,792.11,70886
665,1 to 3 bed,Dublin,1733.98,18395,1458154,1230.7152459016395,0.0942636586028812,9895.73,13623.77,1383.09,11525.39,792.11,70886
666,Two bed,Dublin,1730.77,18395,1458154,1274.9833802816902,0.0940891546615928,9895.73,13623.77,1383.09,11525.39,792.11,70886
667,Three bed,Dublin,1728.48,18395,1458154,1385.131496350365,0.093964664310954,9895.73,13623.77,1383.09,11525.39,792.11,70886
668,All bedrooms,Dublin,1725.5,18395,1458154,1298.127292225201,0.093802663767328,9895.73,13623.77,1383.09,11525.39,792.11,70886
669,1 to 3 bed,Dublin,1724.99,18395,1458154,1230.7152459016395,0.0937749388420766,9895.73,13623.77,1383.09,11525.39,792.11,70886
670,Three bed,Dublin,1724.13,18395,1458154,1385.131496350365,0.0937281870073389,9895.73,13623.77,1383.09,11525.39,792.11,70886
671,Three bed,Dublin,1723.95,18395,1458154,1385.131496350365,0.0937184017396031,9895.73,13623.77,1383.09,11525.39,792.11,70886
672,All bedrooms,Dublin,1723.77,18395,1458154,1298.127292225201,0.0937086164718673,9895.73,13623.77,1383.09,11525.39,792.11,70886
673,Three bed,Dublin,1723.25,18395,1458154,1385.131496350365,0.0936803479206306,9895.73,13623.77,1383.09,11525.39,792.11,70886
674,All bedrooms,Dublin,1722.3,18395,1458154,1298.127292225201,0.093628703452025,9895.73,13623.77,1383.09,11525.39,792.11,70886
675,1 to 3 bed,Dublin,1719.41,18395,1458154,1230.7152459016395,0.0934715955422669,9895.73,13623.77,1383.09,11525.39,792.11,70886
676,Two bed,Dublin,1716.78,18395,1458154,1274.9833802816902,0.0933286219081272,9895.73,13623.77,1383.09,11525.39,792.11,70886
677,All bedrooms,Dublin,1715.86,18395,1458154,1298.127292225201,0.0932786083174775,9895.73,13623.77,1383.09,11525.39,792.11,70886
678,Three bed,Dublin,1714.17,18395,1458154,1385.131496350365,0.0931867355259581,9895.73,13623.77,1383.09,11525.39,792.11,70886
679,1 to 2 bed,Dublin,1712.69,18395,1458154,1184.0090322580645,0.0931062788801304,9895.73,13623.77,1383.09,11525.39,792.11,70886
680,1 to 3 bed,Dublin,1712.07,18395,1458154,1230.7152459016395,0.0930725740690405,9895.73,13623.77,1383.09,11525.39,792.11,70886
681,1 to 2 bed,Dublin,1711.92,18395,1458154,1184.0090322580645,0.0930644196792606,9895.73,13623.77,1383.09,11525.39,792.11,70886
682,Two bed,Dublin,1710.03,18395,1458154,1274.9833802816902,0.0929616743680347,9895.73,13623.77,1383.09,11525.39,792.11,70886
683,One bed,Dublin,1708.63,18395,1458154,1057.0936904761904,0.0928855667300897,9895.73,13623.77,1383.09,11525.39,792.11,70886
684,1 to 2 bed,Dublin,1704.48,18395,1458154,1184.0090322580645,0.092659961946181,9895.73,13623.77,1383.09,11525.39,792.11,70886
685,Two bed,Dublin,1704.1,18395,1458154,1274.9833802816902,0.0926393041587387,9895.73,13623.77,1383.09,11525.39,792.11,70886
686,1 to 2 bed,Dublin,1701.43,18395,1458154,1184.0090322580645,0.0924941560206577,9895.73,13623.77,1383.09,11525.39,792.11,70886
687,All bedrooms,Dublin,1700.45,18395,1458154,1298.127292225201,0.0924408806740962,9895.73,13623.77,1383.09,11525.39,792.11,70886
688,1 to 3 bed,Dublin,1700.45,18395,1458154,1230.7152459016395,0.0924408806740962,9895.73,13623.77,1383.09,11525.39,792.11,70886
689,All bedrooms,Dublin,1700.36,18395,1458154,1298.127292225201,0.0924359880402283,9895.73,13623.77,1383.09,11525.39,792.11,70886
690,All bedrooms,Dublin,1699.16,18395,1458154,1298.127292225201,0.0923707529219896,9895.73,13623.77,1383.09,11525.39,792.11,70886
691,One bed,Dublin,1698.82,18395,1458154,1057.0936904761904,0.0923522696384887,9895.73,13623.77,1383.09,11525.39,792.11,70886
692,Two bed,Dublin,1698.72,18395,1458154,1274.9833802816902,0.0923468333786355,9895.73,13623.77,1383.09,11525.39,792.11,70886
693,Two bed,Dublin,1698.42,18395,1458154,1274.9833802816902,0.0923305245990758,9895.73,13623.77,1383.09,11525.39,792.11,70886
694,Two bed,Dublin,1697.87,18395,1458154,1274.9833802816902,0.0923006251698831,9895.73,13623.77,1383.09,11525.39,792.11,70886
695,Three bed,Dublin,1696.18,18395,1458154,1385.131496350365,0.0922087523783636,9895.73,13623.77,1383.09,11525.39,792.11,70886
696,1 to 3 bed,Dublin,1696.16,18395,1458154,1230.7152459016395,0.092207665126393,9895.73,13623.77,1383.09,11525.39,792.11,70886
697,All bedrooms,Dublin,1694.47,18395,1458154,1298.127292225201,0.0921157923348736,9895.73,13623.77,1383.09,11525.39,792.11,70886
698,1 to 3 bed,Dublin,1694.47,18395,1458154,1230.7152459016395,0.0921157923348736,9895.73,13623.77,1383.09,11525.39,792.11,70886
699,1 to 2 bed,Dublin,1692.59,18395,1458154,1184.0090322580645,0.092013590649633,9895.73,13623.77,1383.09,11525.39,792.11,70886
700,Three bed,Dublin,1691.81,18395,1458154,1385.131496350365,0.0919711878227779,9895.73,13623.77,1383.09,11525.39,792.11,70886
701,One bed,Dublin,1691.68,18395,1458154,1057.0936904761904,0.0919641206849687,9895.73,13623.77,1383.09,11525.39,792.11,70886
702,All bedrooms,Dublin,1691.67,18395,1458154,1298.127292225201,0.0919635770589834,9895.73,13623.77,1383.09,11525.39,792.11,70886
703,1 to 3 bed,Dublin,1690.13,18395,1458154,1230.7152459016395,0.0918798586572438,9895.73,13623.77,1383.09,11525.39,792.11,70886
704,Two bed,Dublin,1689.22,18395,1458154,1274.9833802816902,0.0918303886925795,9895.73,13623.77,1383.09,11525.39,792.11,70886
705,1 to 3 bed,Dublin,1687.36,18395,1458154,1230.7152459016395,0.0917292742593095,9895.73,13623.77,1383.09,11525.39,792.11,70886
706,1 to 2 bed,Dublin,1682.81,18395,1458154,1184.0090322580645,0.091481924435988,9895.73,13623.77,1383.09,11525.39,792.11,70886
